id;peak1;n_visitas1;standv1;MAD1;cov1;peak2;n_visitas2;standv2;MAD2;cov2;diff_visita;diff_peak
130006175;2;17;13.169.567.191.065.900;1.0;0.5;7;22;10.190.921.218.587;1.0;0.14285714285714285;-5;-5
150182566;2;14;11.766.968.108.291.000;0.0;0.0;7;19;12.717.247.935.843.900;1.0;0.14285714285714285;-5;-5
150217939;7;7;1.247.219.128.924.640;0.5;0.07142857142857142;12;12;1.813.630.667.569.090;1.0;0.08333333333333333;-5;-5
151030888;7;5;0.5;0.5;0.07142857142857142;14;10;1.563.471.919.941.140;0.0;0.0;-5;-7
200090510;2;11;17.776.388.834.631.100;1.0;0.5;9;16;2.434.930.982.366.620;1.0;0.1111111111111111;-5;-7
310017624;7;6;0.0;0.0;0.0;14;11;0.6403124237432849;0.5;0.03571428571428571;-5;-7
70053498;3;8;13.997.084.244.475.300;1.0;0.3333333333333333;13;13;19.346.977.943.739.800;1.5;0.11538461538461539;-5;-10
130164872;2;5;0.5;0.5;0.25;12;10;14.740.554.623.801.700;1.0;0.08333333333333333;-5;-10
130008624;2;7;11.547.005.383.792.500;0.5;0.25;13;12;11.499.191.491.521.300;1.0;0.07692307692307693;-5;-11
82959;2;9;19.324.531.042.175.300;1.0;0.5;14;14;2.555.884.265.513.250;1.0;0.07142857142857142;-5;-12
130082690;2;4;0.816496580927726;1.0;0.5;14;9;1.5;1.0;0.07142857142857142;-5;-12
118854;2;21;1.107.925.990.308.010;1.0;0.5;7;25;0.9537935951882998;1.0;0.14285714285714285;-4;-5
200933;2;12;2.147.456.692.912.310;2.0;1.0;7;16;107.496.769.977.314;0.0;0.0;-4;-5
110120395;2;26;22.782.449.385.437.000;1.0;0.5;7;30;36.632.961.123.363.600;2.0;0.2857142857142857;-4;-5
130100911;2;4;0.0;0.0;0.0;7;8;0.6388765649999399;0.0;0.0;-4;-5
150250370;2;8;21.189.138.534.559.000;1.0;0.5;7;12;0.7496555682941201;0.0;0.0;-4;-5
150252667;2;8;21.189.138.534.559.000;1.0;0.5;7;12;0.7496555682941201;0.0;0.0;-4;-5
310012640;2;7;1.118.033.988.749.890;0.5;0.25;7;11;19.899.748.742.132.400;1.0;0.14285714285714285;-4;-5
22475;7;3;1.5;1.5;0.21428571428571427;14;7;10.671.873.729.054.700;0.5;0.03571428571428571;-4;-7
70102204;7;6;36.110.940.170.535.500;1.0;0.14285714285714285;14;10;5.497.474.167.490.210;6.0;0.42857142857142855;-4;-7
70108723;3;3;1.0;1.0;0.3333333333333333;13;7;1.118.033.988.749.890;0.0;0.0;-4;-10
130038285;3;4;0.816496580927726;1.0;0.3333333333333333;13;8;0.6388765649999398;0.0;0.0;-4;-10
257103;3;4;4.546.060.565.661.950;4.0;13.333.333.333.333.300;14;8;5.303.060.340.934.450;2.0;0.14285714285714285;-4;-11
70001913;3;6;285.657.137.141.714;3.0;1.0;14;10;2.0;1.0;0.07142857142857142;-4;-11
310011039;3;8;0.6388765649999399;0.0;0.0;14;12;0.899954085146515;0.0;0.0;-4;-11
130133201;2;8;406.578.556.307.363;4.0;2.0;15;12;3.933.328.664.142.530;3.0;0.2;-4;-13
150187634;2;3;0.5;0.5;0.25;20;7;4.374.801.582.802.220;3.0;0.15;-4;-18
70057238;6;5;3.491.060.010.942.230;3.0;0.5;25;9;27.128.168.017.763.300;2.5;0.1;-4;-19
70058751;3;4;14.142.135.623.730.900;0.0;0.0;8;7;10.671.873.729.054.700;1.0;0.125;-3;-5
70064660;2;23;0.5622416762205902;0.0;0.0;7;26;0.4;0.0;0.0;-3;-5
70170573;2;8;0.4948716593053935;0.0;0.0;7;11;0.6;0.0;0.0;-3;-5
130001581;2;14;20.925.339.244.208.300;2.0;1.0;7;17;20.300.477.211.139.600;1.0;0.14285714285714285;-3;-5
106835;2;14;0.9483713850721501;1.0;0.5;8;17;0.9333240326917549;0.5;0.0625;-3;-6
150201120;7;8;3.779.644.730.092.270;1.0;0.14285714285714285;14;11;5.717.516.943.569.120;6.5;0.4642857142857143;-3;-7
40006118;4;6;4.4;2.0;0.5;12;9;7.857.122.564.908.860;8.5;0.7083333333333334;-3;-8
130003899;7;5;3.344.772.040.064.910;0.5;0.07142857142857142;15;8;6.047.431.568.147.630;6.0;0.4;-3;-8
130025400;6;5;248.746.859.276.655;0.5;0.08333333333333333;14;8;24.159.335.036.125.300;1.0;0.07142857142857142;-3;-8
85623;6;3;0.0;0.0;0.0;15;6;20.396.078.054.371.100;1.0;0.06666666666666667;-3;-9
115658;3;3;1.5;1.5;0.5;14;6;14.966.629.547.095.700;1.0;0.07142857142857142;-3;-11
320002685;2;13;0.816496580927726;0.0;0.0;13;16;10.456.258.094.238.700;1.0;0.07692307692307693;-3;-11
53837;2;7;10.671.873.729.054.700;1.0;0.5;15;10;3.177.855.476.905.570;2.0;0.13333333333333333;-3;-13
126203;5;7;2.266.911.751.455.900;1.5;0.3;19;10;31.622.776.601.683.700;2.0;0.10526315789473684;-3;-14
98499;7;4;4.546.060.565.661.950;4.0;0.5714285714285714;40;7;4.123.105.625.617.660;3.5;0.0875;-3;-33
47779;2;5;1.224.744.871.391.580;0.5;0.25;7;7;0.9428090415820634;0.5;0.07142857142857142;-2;-5
235832;2;13;2.628.635.049.264.580;2.0;1.0;7;15;4.147.780.325.987.990;2.5;0.35714285714285715;-2;-5
70162801;3;13;13.616.778.865.306.800;1.0;0.3333333333333333;8;15;20.354.009.783.964.200;1.0;0.125;-2;-5
130004172;2;16;0.7888106377466154;1.0;0.5;7;18;0.9557692240748189;0.0;0.0;-2;-5
130137888;2;12;16.762.808.104.168.800;1.0;0.5;7;14;178.089.798.504.465;1.0;0.14285714285714285;-2;-5
130186335;2;7;0.816496580927726;1.0;0.5;7;9;0.7806247497997998;1.0;0.14285714285714285;-2;-5
